Airline,MaxDelayMinutes
"Envoy Air: MQ",1753
"ExpressJet Airlines LLC: EV",1584
"United Air Lines Inc.: UA",1525
"SkyWest Airlines Inc.: OO",1513
"American Airlines Inc.: AA",1493
"Spirit Air Lines: NK",1421
"Mesa Airlines Inc.: YV",1267
"Delta Air Lines Inc.: DL",1186
"JetBlue Airways: B6",1179
"Republic Airline: YX",1168
"Hawaiian Airlines Inc.: HA",1154
"Endeavor Air Inc.: 9E",1077
"PSA Airlines Inc.: OH",956
"Allegiant Air: G4",916
"Frontier Airlines Inc.: F9",496
"Alaska Airlines Inc.: AS",439
"Southwest Airlines Co.: WN",438
