Airline,EarlyDepartureMinutes
"Republic Airline: YX",-62
"United Air Lines Inc.: UA",-48
"SkyWest Airlines Inc.: OO",-44
"Delta Air Lines Inc.: DL",-43
"Frontier Airlines Inc.: F9",-38
"Alaska Airlines Inc.: AS",-37
"JetBlue Airways: B6",-35
"Allegiant Air: G4",-33
"PSA Airlines Inc.: OH",-32
"American Airlines Inc.: AA",-30
"Endeavor Air Inc.: 9E",-28
"Envoy Air: MQ",-27
"Spirit Air Lines: NK",-27
"Southwest Airlines Co.: WN",-26
"ExpressJet Airlines LLC: EV",-25
"Mesa Airlines Inc.: YV",-25
"Hawaiian Airlines Inc.: HA",-22
