AirlineName,AirportName,AvgDelay
"Republic Airline: YX","Albuquerque, NM: Albuquerque International Sunport",90.8
"Allegiant Air: G4","Bismarck/Mandan, ND: Bismarck Municipal",44.22222222222222
"Frontier Airlines Inc.: F9","Des Moines, IA: Des Moines International",49.94117647058823
"Southwest Airlines Co.: WN","Newark, NJ: Newark Liberty International",11.24384236453202
"JetBlue Airways: B6","Houston, TX: William P Hobby",32.016666666666666
"Envoy Air: MQ","White Plains, NY: Westchester County",57.57142857142857
"PSA Airlines Inc.: OH","Ashland, WV: Tri-State/Milton J. Ferguson Field",52.666666666666664
"Hawaiian Airlines Inc.: HA","New York, NY: John F. Kennedy International",44.9
"Spirit Air Lines: NK","New York, NY: LaGuardia",19.727272727272727
"Delta Air Lines Inc.: DL","Lihue, HI: Lihue Airport",43.85294117647059
"Endeavor Air Inc.: 9E","Milwaukee, WI: General Mitchell International",360.5
"American Airlines Inc.: AA","Madison, WI: Dane County Regional-Truax Field",78.22222222222223
"Alaska Airlines Inc.: AS","Chicago, IL: Chicago O'Hare International",21.953703703703702
"SkyWest Airlines Inc.: OO","Philadelphia, PA: Philadelphia International",167
"ExpressJet Airlines LLC: EV","South Bend, IN: South Bend International",63.10909090909091
"United Air Lines Inc.: UA","Sarasota/Bradenton, FL: Sarasota/Bradenton International",59.2
"Mesa Airlines Inc.: YV","Tampa, FL: Tampa International",53
