AirportName,reason,cancelcount
"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Weather,6
"Abilene, TX: Abilene Regional",Weather,1
"Albuquerque, NM: Albuquerque International Sunport",Weather,11
"Nantucket, MA: Nantucket Memorial",Weather,4
"Waco, TX: Waco Regional","National Air System",2
"Arcata/Eureka, CA: California Redwood Coast Humboldt County","National Air System",6
"Atlantic City, NJ: Atlantic City International",Weather,11
"Kodiak, AK: Kodiak Airport",Weather,2
"Alexandria, LA: Alexandria International",Weather,4
"Augusta, GA: Augusta Regional at Bush Field",Weather,1
"Albany, NY: Albany International",Weather,12
"Waterloo, IA: Waterloo Regional",Weather,1
"Waterloo, IA: Waterloo Regional","National Air System",1
"Amarillo, TX: Rick Husband Amarillo International",Carrier,5
"Anchorage, AK: Ted Stevens Anchorage International",Carrier,4
"Aspen, CO: Aspen Pitkin County Sardy Field",Weather,4
"Atlanta, GA: Hartsfield-Jackson Atlanta International",Weather,208
"Appleton, WI: Appleton International",Weather,2
"Watertown, SD: Watertown Regional","National Air System",1
"Austin, TX: Austin - Bergstrom International",Weather,40
"Asheville, NC: Asheville Regional",Weather,13
"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",Weather,3
"Kalamazoo, MI: Kalamazoo/Battle Creek International","National Air System",4
"Kalamazoo, MI: Kalamazoo/Battle Creek International",Weather,4
"Hartford, CT: Bradley International",Weather,34
"Bakersfield, CA: Meadows Field","National Air System",1
"Bakersfield, CA: Meadows Field",Carrier,1
"Mobile, AL: Mobile Downtown",Carrier,1
"Mobile, AL: Mobile Downtown",Weather,1
"Bangor, ME: Bangor International",Weather,3
"Bangor, ME: Bangor International",Carrier,3
"Birmingham, AL: Birmingham-Shuttlesworth International",Weather,15
"Bismarck/Mandan, ND: Bismarck Municipal",Weather,2
"Branson, MO: Branson Airport",Weather,1
"Belleville, IL: Scott AFB/MidAmerica",Weather,1
"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",Weather,5
"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington","National Air System",5
"Nashville, TN: Nashville International",Weather,48
"Boise, ID: Boise Air Terminal","National Air System",11
"Boston, MA: Logan International",Weather,82
"Beaumont/Port Arthur, TX: Jack Brooks Regional",Weather,6
"Brunswick, GA: Brunswick Golden Isles",Weather,10
"Aguadilla, PR: Rafael Hernandez",Weather,8
"Brownsville, TX: Brownsville South Padre Island International",Weather,4
"Barrow, AK: Wiley Post/Will Rogers Memorial",Weather,2
"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",Weather,8
"Burlington, VT: Burlington International","National Air System",4
"Buffalo, NY: Buffalo Niagara International",Weather,14
"Burbank, CA: Bob Hope",Carrier,40
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Weather,100
"Bozeman, MT: Bozeman Yellowstone International","National Air System",1
"Akron, OH: Akron-Canton Regional",Weather,7
"Cape Girardeau, MO: Cape Girardeau Regional",Weather,1
"Chattanooga, TN: Lovell Field",Weather,3
"Charlottesville, VA: Charlottesville Albemarle",Weather,14
"Charleston, SC: Charleston AFB/International",Weather,156
"Cedar Rapids/Iowa City, IA: The Eastern Iowa","National Air System",8
"Clarksburg/Fairmont, WV: North Central West Virginia",Weather,1
"Cleveland, OH: Cleveland-Hopkins International",Weather,39
"College Station/Bryan, TX: Easterwood Field",Weather,4
"Charlotte, NC: Charlotte Douglas International",Weather,258
"Columbus, OH: John Glenn Columbus International",Weather,25
"Champaign/Urbana, IL: University of Illinois/Willard","National Air System",5
"Hancock/Houghton, MI: Houghton County Memorial","National Air System",3
"Moab, UT: Canyonlands Field","National Air System",3
"Colorado Springs, CO: City of Colorado Springs Municipal","National Air System",6
"Columbia, MO: Columbia Regional",Weather,4
"Corpus Christi, TX: Corpus Christi International",Weather,6
"Charleston/Dunbar, WV: Yeager",Carrier,2
"Cincinnati, OH: Cincinnati/Northern Kentucky International",Weather,31
"Mosinee, WI: Central Wisconsin",Weather,2
"Mosinee, WI: Central Wisconsin","National Air System",2
"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",Carrier,1
"Daytona Beach, FL: Daytona Beach International",Weather,28
"Dallas, TX: Dallas Love Field",Weather,43
"Dayton, OH: James M Cox/Dayton International","National Air System",8
"Dubuque, IA: Dubuque Regional",Weather,5
"Washington, DC: Ronald Reagan Washington National",Weather,93
"Denver, CO: Denver International",Weather,102
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Weather,132
"Duluth, MN: Duluth International",Weather,18
"Durango, CO: Durango La Plata County",Carrier,2
"Des Moines, IA: Des Moines International",Weather,13
"Detroit, MI: Detroit Metro Wayne County",Weather,68
"Eau Claire, WI: Chippewa Valley Regional","National Air System",3
"Panama City, FL: Northwest Florida Beaches International",Weather,6
"Elmira/Corning, NY: Elmira/Corning Regional",Weather,2
