FlightDate,flights_over_preceding_three_days
2019-09-04,19117.6667
2019-09-05,20264.3333
2019-09-06,20259.6667
2019-09-07,20443.6667
2019-09-08,19306.6667
2019-09-09,19325.3333
2019-09-10,19571.6667
2019-09-11,20830.0000
2019-09-12,20783.6667
2019-09-13,20801.0000
2019-09-14,21176.3333
2019-09-15,19923.6667
2019-09-16,19668.0000
2019-09-17,19659.3333
2019-09-18,20832.0000
2019-09-19,20782.3333
2019-09-20,20793.0000
2019-09-21,21163.0000
2019-09-22,19910.3333
2019-09-23,19659.0000
2019-09-24,19655.0000
2019-09-25,20829.3333
2019-09-26,20772.6667
2019-09-27,20800.3333
2019-09-28,21186.0000
2019-09-29,19947.3333
2019-09-30,19685.6667
